time, value1, value2
-50.0000E-06,+1.0429687500E+00,+23.4375000E-03
-49.9000E-06,+910.1562500E-03,-560.5468750E-03
-49.8000E-06,+832.0312500E-03,-591.7968750E-03
-49.7000E-06,+779.2968750E-03,-548.8281250E-03
-49.6000E-06,+738.2812500E-03,-507.8125000E-03
-49.5000E-06,+705.0781250E-03,-464.8437500E-03
-49.4000E-06,+675.7812500E-03,-433.5937500E-03
-49.3000E-06,+650.3906250E-03,-390.6250000E-03
-49.2000E-06,+628.9062500E-03,-355.4687500E-03
-49.1000E-06,+613.2812500E-03,-326.1718750E-03
-49.0000E-06,+595.7031250E-03,-304.6875000E-03
-48.9000E-06,+580.0781250E-03,-277.3437500E-03
-48.8000E-06,+568.3593750E-03,-250.0000000E-03
-48.7000E-06,+556.6406250E-03,-224.6093750E-03
-48.6000E-06,+544.9218750E-03,-203.1250000E-03
-48.5000E-06,+535.1562500E-03,-183.5937500E-03
-48.4000E-06,+527.3437500E-03,-164.0625000E-03
-48.3000E-06,+521.4843750E-03,-136.7187500E-03
-48.2000E-06,+515.6250000E-03,-111.3281250E-03
-48.1000E-06,+515.6250000E-03,-87.8906250E-03
-48.0000E-06,+513.6718750E-03,-58.5937500E-03
-47.9000E-06,+521.4843750E-03,+33.2031250E-03
-47.8000E-06,+546.8750000E-03,+144.5312500E-03
-47.7000E-06,+558.5937500E-03,+144.5312500E-03
-47.6000E-06,+562.5000000E-03,+146.4843750E-03
-47.5000E-06,+572.2656250E-03,+146.4843750E-03
-47.4000E-06,+572.2656250E-03,+142.5781250E-03
-47.3000E-06,+578.1250000E-03,+146.4843750E-03
-47.2000E-06,+580.0781250E-03,+146.4843750E-03
-47.1000E-06,+583.9843750E-03,+146.4843750E-03
-47.0000E-06,+589.8437500E-03,+148.4375000E-03
-46.9000E-06,+591.7968750E-03,+148.4375000E-03
-46.8000E-06,+595.7031250E-03,+148.4375000E-03
-46.7000E-06,+599.6093750E-03,+152.3437500E-03
-46.6000E-06,+599.6093750E-03,+152.3437500E-03
-46.5000E-06,+603.5156250E-03,+150.3906250E-03
-46.4000E-06,+607.4218750E-03,+154.2968750E-03
